instance_id,model_name,perturbation_type,linguistic_category,mean_lexical_change_magnitude,n_variants,n_clusters,cluster_distribution,semantic_entropy,normalised_semantic_entropy,mean_accuracy
mm_0000101,BERT-base,back_translation,mixed,0.23461538461538461,3,1,"{""C0282597"": 3}",-0.0,-0.0,0.0
mm_0000101,BioBERT,back_translation,mixed,0.23461538461538461,3,1,"{""UMLS:C1257990"": 3}",-0.0,-0.0,0.0
mm_0000101,PubMedBERT,back_translation,mixed,0.23461538461538461,3,1,"{""C1447749"": 3}",-0.0,-0.0,0.0
mm_0001412,BERT-base,back_translation,mixed,0.1576923076923077,3,1,"{""C1447749"": 3}",-0.0,-0.0,0.0
mm_0001412,BERT-base,controlled_paraphrase,mixed,0.36923076923076925,3,1,"{""C1447749"": 3}",-0.0,-0.0,0.0
mm_0001412,BERT-base,synonym_substitution,verb,0.05384615384615385,2,1,"{""C1447749"": 2}",-0.0,-0.0,0.0
mm_0001412,BioBERT,back_translation,mixed,0.1576923076923077,3,1,"{""C1447749"": 3}",-0.0,-0.0,0.0
mm_0001412,BioBERT,controlled_paraphrase,mixed,0.36923076923076925,3,1,"{""C1447749"": 3}",-0.0,-0.0,0.0
mm_0001412,BioBERT,synonym_substitution,verb,0.05384615384615385,2,1,"{""C1447749"": 2}",-0.0,-0.0,0.0
mm_0001412,PubMedBERT,back_translation,mixed,0.1576923076923077,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0
mm_0001412,PubMedBERT,controlled_paraphrase,mixed,0.36923076923076925,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0
mm_0001412,PubMedBERT,synonym_substitution,verb,0.05384615384615385,2,2,"{""C1839576"": 1, ""C1447749"": 1}",1.0,1.0,0.0
mm_0001903,BERT-base,back_translation,mixed,0.1347517730496454,3,1,"{""C0597336"": 3}",-0.0,-0.0,0.0
mm_0001903,BERT-base,controlled_paraphrase,mixed,0.3310344827586207,2,1,"{""C0597336"": 2}",-0.0,-0.0,0.0
mm_0001903,BERT-base,synonym_substitution,verb,0.08797881568734876,3,2,"{""C0597336"": 1, ""UMLS:C0358514"": 2}",0.9182958340544896,0.579380164285695,0.0
mm_0001903,BioBERT,back_translation,mixed,0.1347517730496454,3,2,"{""C1312419"": 1, ""UMLS:C1257990"": 2}",0.9182958340544896,0.579380164285695,0.0
mm_0001903,BioBERT,controlled_paraphrase,mixed,0.3310344827586207,2,2,"{""C1312419"": 1, ""UMLS:C1707887"": 1}",1.0,1.0,0.0
mm_0001903,BioBERT,synonym_substitution,verb,0.08797881568734876,3,2,"{""C1312419"": 1, ""UMLS:C1257990"": 2}",0.9182958340544896,0.579380164285695,0.0
mm_0001903,PubMedBERT,back_translation,mixed,0.1347517730496454,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0
mm_0001903,PubMedBERT,controlled_paraphrase,mixed,0.3310344827586207,2,1,"{""C1839576"": 2}",-0.0,-0.0,0.0
mm_0001903,PubMedBERT,synonym_substitution,verb,0.08797881568734876,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0
mm_0001924,BERT-base,back_translation,mixed,0.22043010752688172,3,1,"{""C3850091"": 3}",-0.0,-0.0,0.0
mm_0001924,BERT-base,controlled_paraphrase,mixed,0.5806451612903226,2,2,"{""C3850091"": 1, ""UMLS:C0242193"": 1}",1.0,1.0,0.0
mm_0001924,BERT-base,synonym_substitution,noun,0.06842105263157895,2,1,"{""C3850091"": 2}",-0.0,-0.0,0.0
mm_0001924,BioBERT,back_translation,mixed,0.22043010752688172,3,1,"{""UMLS:C1257990"": 3}",-0.0,-0.0,0.0
mm_0001924,BioBERT,controlled_paraphrase,mixed,0.5806451612903226,2,1,"{""UMLS:C1257990"": 2}",-0.0,-0.0,0.0
mm_0001924,BioBERT,synonym_substitution,noun,0.06842105263157895,2,1,"{""UMLS:C1257990"": 2}",-0.0,-0.0,0.0
mm_0001924,PubMedBERT,back_translation,mixed,0.22043010752688172,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0
mm_0001924,PubMedBERT,controlled_paraphrase,mixed,0.5806451612903226,2,1,"{""C1839576"": 2}",-0.0,-0.0,0.0
mm_0001924,PubMedBERT,synonym_substitution,noun,0.06842105263157895,2,1,"{""C1839576"": 2}",-0.0,-0.0,0.0
mm_0002001,BERT-base,back_translation,mixed,0.2962962962962963,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0
mm_0002001,BERT-base,controlled_paraphrase,mixed,0.5838509316770186,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0
mm_0002001,BERT-base,synonym_substitution,modifier,0.08092485549132948,2,1,"{""C1839576"": 2}",-0.0,-0.0,0.0
mm_0002001,BERT-base,synonym_substitution,noun,0.09826589595375723,2,1,"{""C1839576"": 2}",-0.0,-0.0,0.0
mm_0002001,BioBERT,back_translation,mixed,0.2962962962962963,3,1,"{""UMLS:C1707887"": 3}",-0.0,-0.0,0.0
mm_0002001,BioBERT,controlled_paraphrase,mixed,0.5838509316770186,3,1,"{""UMLS:C1707887"": 3}",-0.0,-0.0,0.0
mm_0002001,BioBERT,synonym_substitution,modifier,0.08092485549132948,2,1,"{""UMLS:C1707887"": 2}",-0.0,-0.0,0.0
mm_0002001,BioBERT,synonym_substitution,noun,0.09826589595375723,2,1,"{""UMLS:C1707887"": 2}",-0.0,-0.0,0.0
mm_0002001,PubMedBERT,back_translation,mixed,0.2962962962962963,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0
mm_0002001,PubMedBERT,controlled_paraphrase,mixed,0.5838509316770186,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0
mm_0002001,PubMedBERT,synonym_substitution,modifier,0.08092485549132948,2,1,"{""C1839576"": 2}",-0.0,-0.0,0.0
