question,gold_answer,instance_id,mention_context,gold_mention,gold_cui
What is small-activating RNA?,small activating RNAs are double stranded RNAs (dsRNAs) that target gene promoters and trigger gene activation.,bioasq_0,What is small-activating RNA?,small activating RNAs are double stranded RNAs (dsRNAs) that target gene promote,QA_ANSWER
Can the CEP290 gene mutations be targeted by AAV-mediated gene therapy?,The large size of the CEP290 gene prevents its use in adeno-associated virus (AAV)-mediated gene augmentation therapy.,bioasq_1,Can the CEP290 gene mutations be targeted by AAV-mediated gene therapy?,The large size of the CEP290 gene prevents its use in adeno-associated virus (AA,QA_ANSWER
Is there an approved vaccine against Helicobacter pylori?,"No, there is no approved vaccine against Helicobacter pylori.",bioasq_2,Is there an approved vaccine against Helicobacter pylori?,"No, there is no approved vaccine against Helicobacter pylori.",QA_ANSWER
Which company produces Glybera?,Glybera is a product of Chiesi Pharma.,bioasq_3,Which company produces Glybera?,Glybera is a product of Chiesi Pharma.,QA_ANSWER
Cerliponase alfa is apprived for treatment of which disease?,"Cerliponase alfa is a recombinant human tripeptidyl peptidase-1 (TPP1) approved for use in patients with neuronal ceroid lipofuscinosis type 2 (CLN2), a paediatric neurodegenerative disease caused by ",bioasq_4,Cerliponase alfa is apprived for treatment of which disease?,Cerliponase alfa is a recombinant human tripeptidyl peptidase-1 (TPP1) approved ,QA_ANSWER
What is the SLC25A20 protein transporting?,The carnitine/acylcarnitine transporter (CACT; SLC25A20) mediates an antiport reaction allowing entry of acyl moieties in the form of acylcarnitines into the mitochondrial matrix and exit of free carn,bioasq_5,What is the SLC25A20 protein transporting?,The carnitine/acylcarnitine transporter (CACT; SLC25A20) mediates an antiport re,QA_ANSWER
RTS S AS01 vaccine was developed to prevent which disease?,"RTS,S/AS01 vaccine was developed for prevention of malaria.",bioasq_6,RTS S AS01 vaccine was developed to prevent which disease?,"RTS,S/AS01 vaccine was developed for prevention of malaria.",QA_ANSWER
What is the price of KYMRIAH treatment in 2019?,"Kymriah, produced by Novartis has a price tag of US$475,000.",bioasq_7,What is the price of KYMRIAH treatment in 2019?,"Kymriah, produced by Novartis has a price tag of US$475,000.",QA_ANSWER
Which are the characteristics of  Andersen syndrome?,"the characteristics of Andersen syndrome are abnormal QT-U complex, ventricular arrhythmia, periodic paralysis, and facial and skeletal dysmorphisms",bioasq_8,Which are the characteristics of  Andersen syndrome?,"the characteristics of Andersen syndrome are abnormal QT-U complex, ventricular ",QA_ANSWER
What are the currently FDA approved monoclonal antibodies for myeloma?,"The US Food and Drug Administration approved MoAbs, include belantamab mafodotin, daratumumab, elotuzumab, and isatuximab.",bioasq_9,What are the currently FDA approved monoclonal antibodies for myeloma?,"The US Food and Drug Administration approved MoAbs, include belantamab mafodotin",QA_ANSWER
