instance_id,question,mention_context,gold_mention,gold_cui
squad_0,On which corner is the shopping center located?,"On which corner is the shopping center located? While many homes in the neighborhood date back to the 1930s or before, the neighborhood is also home to several public housing developments built between the 1960s and 1990s by the Fresno Housing Auth",Fresno and B streets,QA_ANSWER
squad_1,What is the comparison in price between Australian private schools versus public?,"What is the comparison in price between Australian private schools versus public? Private schools in Australia may be favoured for many reasons: prestige and the social status of the 'old school tie'; better quality physical infrastructure and more facilities (e.g. playing fields, ",more expensive,QA_ANSWER
squad_2,What is the minimum distance between a patient's home and the nearest pharmacy that allows a physician to give out medication?,"What is the minimum distance between a patient's home and the nearest pharmacy that allows a physician to give out medication? In some rural areas in the United Kingdom, there are dispensing physicians who are allowed to both prescribe and dispense prescription-only medicines to their patients from within their practices. The",1.6 kilometres,QA_ANSWER
squad_3,When did BSkyB launch it's HDTV service?,"When did BSkyB launch it's HDTV service? BSkyB launched its HDTV service, Sky+ HD, on 22 May 2006. Prior to its launch, BSkyB claimed that 40,000 people had registered to receive the HD service. In the week before the launch, rumours started",22 May 2006,QA_ANSWER
squad_4,When did the origins of magnetic and electric fields occur?,"When did the origins of magnetic and electric fields occur? The origin of electric and magnetic fields would not be fully explained until 1864 when James Clerk Maxwell unified a number of earlier theories into a set of 20 scalar equations, which were later ref",1864,QA_ANSWER
squad_5,Turtles and jellyfish can eat large quantities of what?,"Turtles and jellyfish can eat large quantities of what? Ctenophores used to be regarded as ""dead ends"" in marine food chains because it was thought their low ratio of organic matter to salt and water made them a poor diet for other animals. It is also ofte","ctenophores,",QA_ANSWER
squad_6,What is the average construction salary in the Middle East?,"What is the average construction salary in the Middle East? In 2010 a salary survey revealed the differences in remuneration between different roles, sectors and locations in the construction and built environment industry. The results showed that areas of par","£42,090",QA_ANSWER
squad_7,When was Geegen the emperor?,"When was Geegen the emperor? Emperor Gegeen Khan, Ayurbarwada's son and successor, ruled for only two years, from 1321 to 1323. He continued his father's policies to reform the government based on the Confucian principles, with t",1321 to 1323,QA_ANSWER
squad_8,At what point does oxygen toxicity begin to happen?,"At what point does oxygen toxicity begin to happen? Oxygen gas (O
2) can be toxic at elevated partial pressures, leading to convulsions and other health problems.[j] Oxygen toxicity usually begins to occur at partial pressures more than 50 kilopascals ",50 kilopascals,QA_ANSWER
squad_9,How is unregistered property held in informal form?,How is unregistered property held in informal form? In many poor and developing countries much land and housing is held outside the formal or legal property ownership registration system. Much unregistered property is held in informal form through vari,through various associations and other arrangements,QA_ANSWER
squad_10,What does the substitution of equipment for labor raise for workers?,"What does the substitution of equipment for labor raise for workers? In Marxian analysis, capitalist firms increasingly substitute capital equipment for labor inputs (workers) under competitive pressure to reduce costs and maximize profits. Over the long-term, this tre",productivity,QA_ANSWER
squad_11,What style were the mass constructed residential blocks designed in?,"What style were the mass constructed residential blocks designed in? Warsaw's mixture of architectural styles reflects the turbulent history of the city and country. During the Second World War, Warsaw was razed to the ground by bombing raids and planned destruction. A",typical of Eastern bloc countries,QA_ANSWER
squad_12,What is the land area of Jacksonville?,"What is the land area of Jacksonville? According to the United States Census Bureau, the city has a total area of 874.3 square miles (2,264 km2), making Jacksonville the largest city in land area in the contiguous United States; of this, 8",874.3 square miles,QA_ANSWER
squad_13,What is the famous rock called that the Rhine flows around?,What is the famous rock called that the Rhine flows around? The dominant economic sectors in the Middle Rhine area are viniculture and tourism. The Rhine Gorge between Rüdesheim am Rhein and Koblenz is listed as a UNESCO World Heritage Site. Near Sankt Goarsha,Lorelei,QA_ANSWER
squad_14,Which theorem can be simplified to the Lasker–Noether theorem?,"Which theorem can be simplified to the Lasker–Noether theorem? In ring theory, the notion of number is generally replaced with that of ideal. Prime ideals, which generalize prime elements in the sense that the principal ideal generated by a prime element is a pri",The fundamental theorem of arithmetic,QA_ANSWER
squad_15,What did the Apple system assign automatically ,What did the Apple system assign automatically  AppleTalk was a proprietary suite of networking protocols developed by Apple Inc. in 1985 for Apple Macintosh computers. It was the primary protocol used by Apple devices through the 1980s and 90s. Ap,"automatically assigned addresses, updated the distributed namespace, and configured any required inter-network routing",QA_ANSWER
squad_16,What happened with the ground water level with the Rhine straightening program?,What happened with the ground water level with the Rhine straightening program? The Upper Rhine region was changed significantly by a Rhine straightening program in the 19th Century. The rate of flow was increased and the ground water level fell significantly. Dead branches dried,fell significantly,QA_ANSWER
squad_17,Dendritic cells present antigens to what cells of the adaptive nervous system?,"Dendritic cells present antigens to what cells of the adaptive nervous system? Dendritic cells (DC) are phagocytes in tissues that are in contact with the external environment; therefore, they are located mainly in the skin, nose, lungs, stomach, and intestines. They are named f",T cells,QA_ANSWER
squad_18,How much of the Rhine flow does Ijssel carry?,How much of the Rhine flow does Ijssel carry? The other third of the water flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn. The IJssel branch carries one ninth of the water flow of the Rhine north into the IJssel,one ninth,QA_ANSWER
squad_19,How long ago did oxygen reach 10% of its present level?,"How long ago did oxygen reach 10% of its present level? Free oxygen gas was almost nonexistent in Earth's atmosphere before photosynthetic archaea and bacteria evolved, probably about 3.5 billion years ago. Free oxygen first appeared in significant quantit",1.7 billion years ago,QA_ANSWER
squad_20,What consequence of establishing the Scottish Parliament applies to Scottish MPs sitting in the UK House of Commons?,"What consequence of establishing the Scottish Parliament applies to Scottish MPs sitting in the UK House of Commons? A procedural consequence of the establishment of the Scottish Parliament is that Scottish MPs sitting in the UK House of Commons are able to vote on domestic legislation that applies only to England, ","able to vote on domestic legislation that applies only to England, Wales and Northern Ireland",QA_ANSWER
squad_21,"In May 2002, where would you go to address the Parliament?","In May 2002, where would you go to address the Parliament? Whilst the permanent building at Holyrood was being constructed, the Parliament's temporary home was the General Assembly Hall of the Church of Scotland on the Royal Mile in Edinburgh. Official photog",University of Aberdeen,QA_ANSWER
squad_22,What is the world's busiest general aviation airport?,"What is the world's busiest general aviation airport? Southern California is home to Los Angeles International Airport, the second-busiest airport in the United States by passenger volume (see World's busiest airports by passenger traffic) and the third ",Van Nuys Airport,QA_ANSWER
squad_23,When did Barton and Whitfield demand climate research records?,"When did Barton and Whitfield demand climate research records? On 23 June 2005, Rep. Joe Barton, chairman of the House Committee on Energy and Commerce wrote joint letters with Ed Whitfield, Chairman of the Subcommittee on Oversight and Investigations demanding f",23 June 2005,QA_ANSWER
squad_24,AC and NC are complexity classes typically associated with what type of circuit?,"AC and NC are complexity classes typically associated with what type of circuit? Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defin",Boolean,QA_ANSWER
squad_25,"After the operators are warned by the escape of the steam, what may they then do?","After the operators are warned by the escape of the steam, what may they then do? Lead fusible plugs may be present in the crown of the boiler's firebox. If the water level drops, such that the temperature of the firebox crown increases significantly, the lead melts and the steam e",manually suppress the fire,QA_ANSWER
squad_26,Where was the Charles Porter steam engine indicator shown?,"Where was the Charles Porter steam engine indicator shown? The most useful instrument for analyzing the performance of steam engines is the steam engine indicator. Early versions were in use by 1851, but the most successful indicator was developed for the hig",London Exhibition,QA_ANSWER
squad_27,How did Natives in Logstown take Celeron's information?,"How did Natives in Logstown take Celeron's information? When Céloron's expedition arrived at Logstown, the Native Americans in the area informed Céloron that they owned the Ohio Country and that they would trade with the British regardless of the French. C",informed Céloron that they owned the Ohio Country and that they would trade with the British regardless of the French,QA_ANSWER
squad_28,What was the name of the approved measure that helped cover the cost of major city projects?,"What was the name of the approved measure that helped cover the cost of major city projects? When a consolidation referendum was held in 1967, voters approved the plan. On October 1, 1968, the governments merged to create the Consolidated City of Jacksonville. Fire, police, health & welfare, ",Better Jacksonville Plan,QA_ANSWER
squad_29,What is the position of the satellite that allowed sky to broadcast channels almost elclusively for the United Kingdom?,"What is the position of the satellite that allowed sky to broadcast channels almost elclusively for the United Kingdom? When Sky Digital was launched in 1998 the new service used the Astra 2A satellite which was located at the 28.5°E orbital position, unlike the analogue service which was broadcast from 19.2°E. This wa",28.5°E,QA_ANSWER
squad_30,Haeckelia prey mostly on what animal?,"Haeckelia prey mostly on what animal? Almost all ctenophores are predators – there are no vegetarians and only one genus that is partly parasitic. If food is plentiful, they can eat 10 times their own weight per day. While Beroe preys mai",jellyfish,QA_ANSWER
squad_31,What did historians do in the absence of census figures?,"What did historians do in the absence of census figures? In England, in the absence of census figures, historians propose a range of preincident population figures from as high as 7 million to as low as 4 million in 1300, and a postincident population figur",propose a range of preincident population figures from as high as 7 million to as low as 4 million,QA_ANSWER
squad_32,How many mechanisms does a typical steam engine have to keep boiler pressure from getting too high?,"How many mechanisms does a typical steam engine have to keep boiler pressure from getting too high? Steam engines frequently possess two independent mechanisms for ensuring that the pressure in the boiler does not go too high; one may be adjusted by the user, the second is typically designed as an u",two,QA_ANSWER
squad_33,Why does the Rhine water fall into depths at the Rheinbrech?,"Why does the Rhine water fall into depths at the Rheinbrech? The flow of cold, gray mountain water continues for some distance into the lake. The cold water flows near the surface and at first doesn't mix with the warmer, green waters of Upper Lake. But then, a",greater density of cold water,QA_ANSWER
squad_34,After the Peterloo massacre what poet wrote The Massacre of Anarchy?,"After the Peterloo massacre what poet wrote The Massacre of Anarchy? Following the Peterloo massacre of 1819, poet Percy Shelley wrote the political poem The Mask of Anarchy later that year, that begins with the images of what he thought to be the unjust forms of autho",Percy Shelley,QA_ANSWER
