instance_id,model_name,architecture,dataset,normalised_entropy,mean_accuracy,n_perturbations,domain,params
bioasq_0,BERT-base,encoder,BioASQ,0.5645750340535796,0.0,6,general,110M
bioasq_1,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_10,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_100,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_101,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_102,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_103,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_105,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_106,BERT-base,encoder,BioASQ,0.5645750340535796,0.0,6,general,110M
bioasq_108,BERT-base,encoder,BioASQ,0.5645750340535796,0.0,6,general,110M
bioasq_11,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_110,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_111,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_112,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_113,BERT-base,encoder,BioASQ,0.5645750340535796,0.0,6,general,110M
bioasq_114,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_115,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_116,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_118,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_12,BERT-base,encoder,BioASQ,0.5645750340535796,0.0,6,general,110M
bioasq_120,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_121,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_122,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_123,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_125,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_126,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_127,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_128,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_13,BERT-base,encoder,BioASQ,0.5645750340535796,0.0,6,general,110M
bioasq_132,BERT-base,encoder,BioASQ,0.5645750340535796,0.0,6,general,110M
bioasq_133,BERT-base,encoder,BioASQ,0.5645750340535796,0.0,6,general,110M
bioasq_134,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_135,BERT-base,encoder,BioASQ,-0.0,0.0,2,general,110M
bioasq_136,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
bioasq_138,BERT-base,encoder,BioASQ,0.43067655807339306,0.0,4,general,110M
