instance_id,perturbation_type,mention_context,perturbation_text,lexical_change_magnitude,gold_mention,gold_cui,accepted_final
bioasq_0,back_translation,What is small-activating RNA?,What is Small Activating RNA?,0.10344827586206896,small activating RNAs are double stranded RNAs (dsRNAs) that target gene promote,QA_ANSWER,True
bioasq_0,back_translation,What is small-activating RNA?,What is Small Activating RNA?,0.10344827586206896,small activating RNAs are double stranded RNAs (dsRNAs) that target gene promote,QA_ANSWER,True
bioasq_0,controlled_paraphrase,What is small-activating RNA?,Could you provide a description of small-activating RNA?,0.5535714285714286,small activating RNAs are double stranded RNAs (dsRNAs) that target gene promote,QA_ANSWER,True
bioasq_0,controlled_paraphrase,What is small-activating RNA?,Could you provide a description of small-activating RNA?,0.5535714285714286,small activating RNAs are double stranded RNAs (dsRNAs) that target gene promote,QA_ANSWER,True
bioasq_0,synonym_substitution,What is small-activating RNA?,What be small-activating RNA?,0.06896551724137931,small activating RNAs are double stranded RNAs (dsRNAs) that target gene promote,QA_ANSWER,True
bioasq_0,synonym_substitution,What is small-activating RNA?,What be small-activating RNA?,0.06896551724137931,small activating RNAs are double stranded RNAs (dsRNAs) that target gene promote,QA_ANSWER,True
bioasq_1,back_translation,Can the CEP290 gene mutations be targeted by AAV-mediated gene therapy?,Can the CEP290 gene mutations be specifically treated by AAV-mediated gene therapy?,0.18072289156626506,The large size of the CEP290 gene prevents its use in adeno-associated virus (AA,QA_ANSWER,True
bioasq_1,back_translation,Can the CEP290 gene mutations be targeted by AAV-mediated gene therapy?,Can the CEP290 gene mutations be specifically treated by AAV-mediated gene therapy?,0.18072289156626506,The large size of the CEP290 gene prevents its use in adeno-associated virus (AA,QA_ANSWER,True
bioasq_2,synonym_substitution,Is there an approved vaccine against Helicobacter pylori?,be there Associate in Nursing approve vaccine against Helicobacter pylori?,0.28378378378378377,"No, there is no approved vaccine against Helicobacter pylori.",QA_ANSWER,True
bioasq_2,synonym_substitution,Is there an approved vaccine against Helicobacter pylori?,be there Associate in Nursing approve vaccine against Helicobacter pylori?,0.28378378378378377,"No, there is no approved vaccine against Helicobacter pylori.",QA_ANSWER,True
bioasq_4,back_translation,Cerliponase alfa is apprived for treatment of which disease?,Cerliponase alfa is used to treat which disease?,0.25,Cerliponase alfa is a recombinant human tripeptidyl peptidase-1 (TPP1) approved ,QA_ANSWER,True
bioasq_4,back_translation,Cerliponase alfa is apprived for treatment of which disease?,Cerliponase alfa is used to treat which disease?,0.25,Cerliponase alfa is a recombinant human tripeptidyl peptidase-1 (TPP1) approved ,QA_ANSWER,True
bioasq_4,synonym_substitution,Cerliponase alfa is apprived for treatment of which disease?,Cerliponase alfa be apprived for intervention of which disease?,0.15873015873015872,Cerliponase alfa is a recombinant human tripeptidyl peptidase-1 (TPP1) approved ,QA_ANSWER,True
bioasq_4,synonym_substitution,Cerliponase alfa is apprived for treatment of which disease?,Cerliponase alfa be apprived for intervention of which disease?,0.15873015873015872,Cerliponase alfa is a recombinant human tripeptidyl peptidase-1 (TPP1) approved ,QA_ANSWER,True
bioasq_6,back_translation,RTS S AS01 vaccine was developed to prevent which disease?,The vaccine RTS S AS01 has been developed to prevent what disease?,0.36363636363636365,"RTS,S/AS01 vaccine was developed for prevention of malaria.",QA_ANSWER,True
bioasq_6,back_translation,RTS S AS01 vaccine was developed to prevent which disease?,The vaccine RTS S AS01 has been developed to prevent what disease?,0.36363636363636365,"RTS,S/AS01 vaccine was developed for prevention of malaria.",QA_ANSWER,True
