instance_id,model_name,architecture,normalised_entropy,mean_accuracy,n_perturbations,n_unique_answers,dataset,domain,params,dataset_order
mm_0000101,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0000101,BioBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0000101,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0001412,BERT-base,encoder,-0.0,0.0,5,,MedMentions,general,110M,0
mm_0001412,BioBERT,encoder,-0.0,0.0,5,,MedMentions,biomedical,110M,0
mm_0001412,PubMedBERT,encoder,0.2792799101286606,0.0,5,,MedMentions,biomedical,110M,0
mm_0001903,BERT-base,encoder,0.3756149631508355,0.0,5,,MedMentions,general,110M,0
mm_0001903,BioBERT,encoder,0.2792799101286606,0.0,5,,MedMentions,biomedical,110M,0
mm_0001903,PubMedBERT,encoder,-0.0,0.0,5,,MedMentions,biomedical,110M,0
mm_0001924,BERT-base,encoder,0.3493984702822971,0.0,4,,MedMentions,general,110M,0
mm_0001924,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0001924,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0002001,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0002001,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0002001,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0002381,BERT-base,encoder,0.3493984702822971,0.0,4,,MedMentions,general,110M,0
mm_0002381,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0002381,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0003169,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0003169,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0003169,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0004408,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0004408,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0004408,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0004613,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0004613,BioBERT,encoder,0.3493984702822971,0.0,4,,MedMentions,biomedical,110M,0
mm_0004613,PubMedBERT,encoder,0.3493984702822971,0.0,4,,MedMentions,biomedical,110M,0
mm_0007063,BERT-base,encoder,0.6309297535714575,0.0,2,,MedMentions,general,110M,0
mm_0007063,BioBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0007063,PubMedBERT,encoder,0.6309297535714575,0.0,2,,MedMentions,biomedical,110M,0
mm_0007146,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0007146,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0007146,PubMedBERT,encoder,0.430676558073393,0.0,4,,MedMentions,biomedical,110M,0
mm_0007303,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0007303,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0007303,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0007332,BERT-base,encoder,0.430676558073393,0.0,4,,MedMentions,general,110M,0
mm_0007332,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0007332,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0007533,BERT-base,encoder,0.430676558073393,0.0,4,,MedMentions,general,110M,0
mm_0007533,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0007533,PubMedBERT,encoder,0.430676558073393,0.0,4,,MedMentions,biomedical,110M,0
mm_0007731,BERT-base,encoder,-0.0,0.0,5,,MedMentions,general,110M,0
mm_0007731,BioBERT,encoder,-0.0,0.0,5,,MedMentions,biomedical,110M,0
mm_0007731,PubMedBERT,encoder,-0.0,0.0,5,,MedMentions,biomedical,110M,0
mm_0007841,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0007841,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0007841,PubMedBERT,encoder,0.3271035759815648,0.0,6,,MedMentions,biomedical,110M,0
mm_0008028,BERT-base,encoder,-0.0,0.0,5,,MedMentions,general,110M,0
mm_0008028,BioBERT,encoder,-0.0,0.0,5,,MedMentions,biomedical,110M,0
mm_0008028,PubMedBERT,encoder,-0.0,0.0,5,,MedMentions,biomedical,110M,0
mm_0008123,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0008123,BioBERT,encoder,0.2315426583725049,0.0,6,,MedMentions,biomedical,110M,0
mm_0008123,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0008783,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0008783,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0008783,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0008874,BERT-base,encoder,-0.0,0.0,5,,MedMentions,general,110M,0
mm_0008874,BioBERT,encoder,0.2792799101286606,0.0,5,,MedMentions,biomedical,110M,0
mm_0008874,PubMedBERT,encoder,0.3756149631508355,0.0,5,,MedMentions,biomedical,110M,0
mm_0008935,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0008935,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0008935,PubMedBERT,encoder,0.2315426583725049,0.0,6,,MedMentions,biomedical,110M,0
mm_0009136,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0009136,BioBERT,encoder,0.430676558073393,0.0,4,,MedMentions,biomedical,110M,0
mm_0009136,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0009327,BERT-base,encoder,0.3271035759815648,0.0,6,,MedMentions,general,110M,0
mm_0009327,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0009327,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0009884,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0009884,BioBERT,encoder,0.5197589750988045,0.0,6,,MedMentions,biomedical,110M,0
mm_0009884,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0010371,BERT-base,encoder,0.430676558073393,0.0,4,,MedMentions,general,110M,0
mm_0010371,BioBERT,encoder,0.6460148371100897,0.0,4,,MedMentions,biomedical,110M,0
mm_0010371,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0011144,BERT-base,encoder,0.3271035759815648,0.0,6,,MedMentions,general,110M,0
mm_0011144,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0011144,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0011490,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0011490,BioBERT,encoder,-0.0,1.0,4,,MedMentions,biomedical,110M,0
mm_0011490,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0011728,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0011728,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0011728,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0013400,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0013400,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0013400,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0013465,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0013465,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0013465,PubMedBERT,encoder,0.3493984702822971,0.0,4,,MedMentions,biomedical,110M,0
mm_0014062,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0014062,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0014062,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0014155,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0014155,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0014155,PubMedBERT,encoder,0.3271035759815648,0.0,6,,MedMentions,biomedical,110M,0
mm_0014726,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0014726,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0014726,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0015061,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0015061,BioBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0015061,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0015627,BERT-base,encoder,0.5645750340535796,0.0,6,,MedMentions,general,110M,0
mm_0015627,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0015627,PubMedBERT,encoder,0.3562071871080222,0.0,6,,MedMentions,biomedical,110M,0
mm_0015640,BERT-base,encoder,0.3493984702822971,0.0,4,,MedMentions,general,110M,0
mm_0015640,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0015640,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0015817,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0015817,BioBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0015817,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0016164,BERT-base,encoder,0.1972242595274425,0.0,7,,MedMentions,general,110M,0
mm_0016164,BioBERT,encoder,-0.0,0.0,7,,MedMentions,biomedical,110M,0
mm_0016164,PubMedBERT,encoder,-0.0,0.0,7,,MedMentions,biomedical,110M,0
mm_0016721,BERT-base,encoder,-0.0,0.0,3,,MedMentions,general,110M,0
mm_0016721,BioBERT,encoder,-0.0,0.0,3,,MedMentions,biomedical,110M,0
mm_0016721,PubMedBERT,encoder,0.4591479170272448,0.0,3,,MedMentions,biomedical,110M,0
mm_0017862,BERT-base,encoder,0.2559297535714574,0.0,8,,MedMentions,general,110M,0
mm_0017862,BioBERT,encoder,-0.0,0.0,8,,MedMentions,biomedical,110M,0
mm_0017862,PubMedBERT,encoder,0.4731973151785931,0.0,8,,MedMentions,biomedical,110M,0
mm_0018144,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0018144,BioBERT,encoder,0.3271035759815648,0.0,6,,MedMentions,biomedical,110M,0
mm_0018144,PubMedBERT,encoder,0.3271035759815648,0.0,6,,MedMentions,biomedical,110M,0
mm_0018948,BERT-base,encoder,-0.0,0.0,3,,MedMentions,general,110M,0
mm_0018948,BioBERT,encoder,0.4591479170272448,0.0,3,,MedMentions,biomedical,110M,0
mm_0018948,PubMedBERT,encoder,-0.0,0.0,3,,MedMentions,biomedical,110M,0
mm_0019627,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0019627,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0019627,PubMedBERT,encoder,0.2315426583725049,0.0,6,,MedMentions,biomedical,110M,0
mm_0020635,BERT-base,encoder,0.2315426583725049,0.0,6,,MedMentions,general,110M,0
mm_0020635,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0020635,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0020797,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0020797,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0020797,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0020876,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0020876,BioBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0020876,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0021148,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0021148,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0021148,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0021420,BERT-base,encoder,0.3271035759815648,0.0,6,,MedMentions,general,110M,0
mm_0021420,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0021420,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0021524,BERT-base,encoder,-0.0,0.0,5,,MedMentions,general,110M,0
mm_0021524,BioBERT,encoder,-0.0,0.0,5,,MedMentions,biomedical,110M,0
mm_0021524,PubMedBERT,encoder,0.3756149631508355,0.0,5,,MedMentions,biomedical,110M,0
mm_0022106,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0022106,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0022106,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0022147,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0022147,BioBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0022147,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0023569,BERT-base,encoder,0.3493984702822971,0.0,4,,MedMentions,general,110M,0
mm_0023569,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0023569,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0023586,BERT-base,encoder,-0.0,0.0,3,,MedMentions,general,110M,0
mm_0023586,BioBERT,encoder,0.4591479170272448,0.0,3,,MedMentions,biomedical,110M,0
mm_0023586,PubMedBERT,encoder,-0.0,0.0,3,,MedMentions,biomedical,110M,0
mm_0024314,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0024314,BioBERT,encoder,-0.0,1.0,2,,MedMentions,biomedical,110M,0
mm_0024314,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0024549,BERT-base,encoder,-0.0,0.0,5,,MedMentions,general,110M,0
mm_0024549,BioBERT,encoder,-0.0,0.0,5,,MedMentions,biomedical,110M,0
mm_0024549,PubMedBERT,encoder,-0.0,0.0,5,,MedMentions,biomedical,110M,0
mm_0024701,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0024701,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0024701,PubMedBERT,encoder,0.3271035759815648,0.0,6,,MedMentions,biomedical,110M,0
mm_0024729,BERT-base,encoder,0.6460148371100897,0.0,4,,MedMentions,general,110M,0
mm_0024729,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0024729,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0024960,BERT-base,encoder,0.430676558073393,0.0,4,,MedMentions,general,110M,0
mm_0024960,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0024960,PubMedBERT,encoder,0.430676558073393,0.0,4,,MedMentions,biomedical,110M,0
mm_0025176,BERT-base,encoder,0.3010904051328339,0.0,8,,MedMentions,general,110M,0
mm_0025176,BioBERT,encoder,0.3010904051328339,0.0,8,,MedMentions,biomedical,110M,0
mm_0025176,PubMedBERT,encoder,-0.0,0.0,8,,MedMentions,biomedical,110M,0
mm_0025371,BERT-base,encoder,-0.0,0.0,5,,MedMentions,general,110M,0
mm_0025371,BioBERT,encoder,0.3756149631508355,0.0,5,,MedMentions,biomedical,110M,0
mm_0025371,PubMedBERT,encoder,0.2792799101286606,0.0,5,,MedMentions,biomedical,110M,0
mm_0026424,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
