instance_id,model_name,architecture,dataset,normalised_entropy,mean_accuracy,n_perturbations,domain,params
bioasq_0,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_1,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_10,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_100,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_101,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_102,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_103,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_105,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_106,FLAN-T5-base,generative,BioASQ,-0.0,0.0,6,general,250M
bioasq_108,FLAN-T5-base,generative,BioASQ,0.3271035759815648,0.0,6,general,250M
bioasq_11,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_110,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_111,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_112,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_113,FLAN-T5-base,generative,BioASQ,0.3271035759815648,0.0,6,general,250M
bioasq_114,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_115,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_116,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_118,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_12,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_120,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_121,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_122,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_123,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_125,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_126,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
