candidate_text,candidate_label,source_mention,linker_score
Brain,C0006104||Brain,brain,0.9775201082229614
Cognitive Training,C0870303||Cognitive Training,brain,0.7758468389511108
Brain TIA,C0007787||Brain TIA,brain,0.7522143125534058
"Brains, Hind","C0035507||Brains, Hind",brain,0.7167890667915344
Truncus Cerebrus,C0006121||Truncus Cerebrus,brain,0.702464759349823
brain,UMLS:C0006104||brain,brain,1.0
disease management,C0039798||disease management,treatment,0.9770252108573914
Treatments,C0087111||Treatments,treatment,0.9770252108573914
Retreatments,C0376495||Retreatments,treatment,0.8247855305671692
"Protocols, Treatment","C0040808||Protocols, Treatment",treatment,0.8002223968505859
Overtreatment,C4046039||Overtreatment,treatment,0.7985852956771851
treatment,UMLS:C1533734||treatment,treatment,1.0
"Cucumber, Sea","C0036485||Cucumber, Sea",sea cucumber,0.9825188517570496
sea cucumber,UMLS:C0036485||sea cucumber,sea cucumber,1.0
Meta-Analysis,C0282458||Meta-Analysis,meta-analysis,0.9813014268875122
Clinical Trial Overviews,C0920317||Clinical Trial Overviews,meta-analysis,0.777388334274292
meta-analysis,UMLS:C0282458||meta-analysis,meta-analysis,1.0
Tissue,C0040300||Tissue,tissue,0.9950995445251465
Bone Tissue,C0391978||Bone Tissue,tissue,0.8631117343902588
"Procoagulant Activity, Glomerular","C0040048||Procoagulant Activity, Glomerular",tissue,0.8223515748977661
"Donors, Tissue","C0040288||Donors, Tissue",tissue,0.7982718348503113
"Tissue, Fetal","C0242291||Tissue, Fetal",tissue,0.7929306030273438
tissue,UMLS:C0040300||tissue,tissue,1.0
CVD,UMLS:C2926098||CVD,CVD,1.0
AD,UMLS:C0002395||AD,AD,1.0
AQI,UMLS:C0918012||AQI,AQI,1.0
CD14(++)CD16(-),UMLS:C0026473||CD14(++)CD16(-),CD14(++)CD16(-),1.0
"Leave, Plant","C0242724||Leave, Plant",leaf,0.7590131163597107
Seed Leaf,C0242769||Seed Leaf,leaf,0.7000839114189148
leaf,UMLS:C0242724||leaf,leaf,1.0
Heat-Shock Protein,C0018850||Heat-Shock Protein,stress,0.8813959956169128
Salt Stress,C4704762||Salt Stress,stress,0.7681879997253418
Stress Fibers,C0887904||Stress Fibers,stress,0.7321568131446838
Test Anxiety,C0871504||Test Anxiety,stress,0.7290791869163513
stress,UMLS:C0038435||stress,stress,1.0
Probiotics,C0525033||Probiotics,probiotic,0.954247236251831
probiotic,UMLS:C0525033||probiotic,probiotic,1.0
regions,UMLS:C0205147||regions,regions,1.0
cell,UMLS:C0007634||cell,cell,1.0
Sensitivity Training Groups,C0036669||Sensitivity Training Groups,groups,0.9016461968421936
Age Groups,C0027362||Age Groups,groups,0.8486985564231873
"Groups, Racial","C0034510||Groups, Racial",groups,0.819954514503479
"Unit, Social","C0687744||Unit, Social",groups,0.7907975316047668
Control Groups,C0009932||Control Groups,groups,0.784122109413147
groups,UMLS:C1257890||groups,groups,1.0
JAK-2 Protein Tyrosine Kinase,C0169661||JAK-2 Protein Tyrosine Kinase,janus kinase 2,0.9633340835571289
Janus Kinase,C0597721||Janus Kinase,janus kinase 2,0.9190751910209656
Jak1 Kinase,C0169658||Jak1 Kinase,janus kinase 2,0.8831457495689392
Janus Kinase 3,C0253457||Janus Kinase 3,janus kinase 2,0.8720730543136597
"Janus kinase 1, human","C1527598||Janus kinase 1, human",janus kinase 2,0.7937272787094116
janus kinase 2,UMLS:C1527619||janus kinase 2,janus kinase 2,1.0
feral farm,UMLS:C0557759||feral farm,feral farm,1.0
ScECM4,UMLS:C0033684||ScECM4,ScECM4,1.0
Culture,C0010453||Culture,cultures,0.9820929169654846
Cell Culture,C0007585||Cell Culture,cultures,0.84357750415802
Material Culture,C0680327||Material Culture,cultures,0.7888286709785461
Organ Culture Techniques,C0029205||Organ Culture Techniques,cultures,0.7757288813591003
Coculture Techniques,C0282547||Coculture Techniques,cultures,0.7731387615203857
cultures,UMLS:C0430400||cultures,cultures,1.0
Mitochondrial Proteins,C0949610||Mitochondrial Proteins,mitochondrial,0.9335364103317261
Mitochondrial Genes,C1563761||Mitochondrial Genes,mitochondrial,0.9039945006370544
Mitochondria,C0026237||Mitochondria,mitochondrial,0.890083372592926
"RNA, Mitochondrial","C0073434||RNA, Mitochondrial",mitochondrial,0.8838959336280823
"DNA, Mitochondrial","C0012929||DNA, Mitochondrial",mitochondrial,0.8679020404815674
mitochondrial,UMLS:C0026237||mitochondrial,mitochondrial,1.0
Randomized Controlled Trial,C1096777||Randomized Controlled Trial,Randomized Controlled Trial,0.972573459148407
"Controlled Clinical Trials, Randomized","C0206035||Controlled Clinical Trials, Randomized",Randomized Controlled Trial,0.8330729007720947
"Randomized Controlled Trial, Veterinary","C5197817||Randomized Controlled Trial, Veterinary",Randomized Controlled Trial,0.8257685899734497
Randomized Controlled Trials as Topic,C0282440||Randomized Controlled Trials as Topic,Randomized Controlled Trial,0.8148265480995178
Non-Randomized Controlled Trials as Topic,C2985410||Non-Randomized Controlled Trials as Topic,Randomized Controlled Trial,0.8055707812309265
Randomized Controlled Trial,UMLS:C0206035||Randomized Controlled Trial,Randomized Controlled Trial,1.0
Digestive Tracts,C0017189||Digestive Tracts,tracts,0.7465670704841614
"Opticus, Tractus","C0152405||Opticus, Tractus",tracts,0.707775890827179
tracts,UMLS:C1185740||tracts,tracts,1.0
randomized,UMLS:C0034656||randomized,randomized,1.0
isolates,UMLS:C1764827||isolates,isolates,1.0
proximity,UMLS:C1514583||proximity,proximity,1.0
progressed,UMLS:C0242656||progressed,progressed,1.0
detect,UMLS:C0442726||detect,detect,1.0
top,UMLS:C1704458||top,top,1.0
surgery,C0038895||surgery,surgery,0.9922674298286438
Surgery,C1274039||Surgery,surgery,0.9922674298286438
Oral Surgery,C0038908||Oral Surgery,surgery,0.8348092436790466
Minor Surgical Procedures,C0038904||Minor Surgical Procedures,surgery,0.8315945267677307
Laser Surgery,C0023087||Laser Surgery,surgery,0.8242102861404419
